node_pair_id,ans
0,1
1,0
2,1
3,0
4,0
5,0
6,1
7,0
8,1
9,0
10,1
11,1
12,1
13,0
14,1
15,0
16,1
17,0
18,1
19,0
20,0
21,1
22,0
23,1
24,1
25,1
26,1
27,0
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,0
39,0
40,1
41,1
42,1
43,0
44,1
45,1
46,0
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,1
64,1
65,1
66,1
67,1
68,0
69,1
70,0
71,1
72,0
73,1
74,1
75,0
76,0
77,0
78,1
79,1
80,0
81,1
82,0
83,1
84,1
85,1
86,1
87,0
88,1
89,1
90,1
91,1
92,1
93,0
94,0
95,1
96,1
97,0
98,0
99,0
100,1
101,1
102,0
103,1
104,1
105,1
106,1
107,1
108,1
109,0
110,1
111,0
112,0
113,0
114,0
115,1
116,1
117,0
118,0
119,0
120,1
121,0
122,0
123,0
124,0
125,1
126,1
127,1
128,1
129,0
130,0
131,0
132,1
133,1
134,0
135,1
136,0
137,0
138,1
139,1
140,0
141,1
142,1
143,1
144,0
145,1
146,1
147,0
148,0
149,0
150,0
151,1
152,0
153,1
154,1
155,1
156,0
157,1
158,1
159,1
160,1
161,0
162,1
163,0
164,1
165,1
166,1
167,0
168,0
169,1
170,1
171,0
172,0
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,0
183,1
184,0
185,0
186,1
187,1
188,1
189,1
190,1
191,0
192,0
193,0
194,1
195,0
196,1
197,0
198,0
199,0
200,1
201,0
202,1
203,0
204,0
205,0
206,1
207,1
208,0
209,1
210,1
211,1
212,1
213,1
214,0
215,0
216,1
217,1
218,0
219,0
220,0
221,1
222,0
223,1
224,1
225,0
226,1
227,1
228,0
229,0
230,1
231,1
232,1
233,0
234,1
235,0
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,0
251,1
252,1
253,0
254,1
255,1
256,1
257,0
258,1
259,1
260,0
261,1
262,1
263,1
264,1
265,0
266,1
267,1
268,0
269,0
270,0
271,0
272,0
273,1
274,1
275,0
276,1
277,1
278,1
279,1
280,1
281,1
282,0
283,0
284,0
285,1
286,0
287,1
288,0
289,1
290,0
291,0
292,1
293,0
294,1
295,1
296,0
297,1
298,0
299,0
300,0
301,0
302,0
303,1
304,0
305,1
306,0
307,0
308,1
309,1
310,0
311,1
312,0
313,0
314,0
315,1
316,0
317,1
318,1
319,0
320,0
321,1
322,1
323,1
324,1
325,1
326,0
327,0
328,1
329,1
330,1
331,0
332,0
333,1
334,1
335,0
336,0
337,0
338,0
339,1
340,0
341,1
342,1
343,1
344,1
345,0
346,1
347,1
348,0
349,1
350,1
351,0
352,1
353,1
354,1
355,0
356,1
357,1
358,1
359,1
360,1
361,1
362,0
363,1
364,0
365,0
366,1
367,1
368,0
369,0
370,0
371,0
372,0
373,0
374,1
375,1
376,0
377,1
378,0
379,0
380,1
381,0
382,0
383,0
384,0
385,1
386,1
387,1
388,0
389,0
390,0
391,0
392,1
393,1
394,0
395,1
396,0
397,0
398,0
399,1
400,0
401,0
402,0
403,1
404,1
405,0
406,1
407,0
408,0
409,0
410,0
411,0
412,0
413,1
414,0
415,1
416,1
417,1
418,0
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,0
432,0
433,0
434,1
435,0
436,0
437,0
438,0
439,0
440,1
441,0
442,1
443,0
444,0
445,1
446,0
447,1
448,1
449,1
450,0
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,0
459,1
460,1
461,0
462,1
463,1
464,0
465,0
466,1
467,1
468,1
469,0
470,0
471,1
472,1
473,0
474,1
475,0
476,0
477,1
478,0
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,0
489,0
490,0
491,1
492,0
493,0
494,0
495,1
496,0
497,1
498,1
499,0
500,1
501,0
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,0
511,0
512,1
513,1
514,1
515,1
516,1
517,1
518,0
519,1
520,1
521,1
522,1
523,1
524,0
525,1
526,1
527,0
528,1
529,1
530,1
531,1
532,1
533,0
534,0
535,0
536,1
537,0
538,1
539,0
540,1
541,1
542,0
543,0
544,1
545,1
546,0
547,1
548,1
549,1
550,1
551,1
552,1
553,0
554,0
555,1
556,1
557,0
558,1
559,1
560,0
561,1
562,1
563,0
564,1
565,1
566,0
567,1
568,1
569,1
570,1
571,0
572,0
573,1
574,1
575,0
576,0
577,1
578,1
579,1
580,0
581,0
582,1
583,1
584,1
585,0
586,0
587,1
588,1
589,1
590,1
591,0
592,1
593,1
594,0
595,0
596,1
597,0
598,1
599,0
600,1
601,1
602,0
603,1
604,1
605,0
606,0
607,0
608,0
609,1
610,1
611,0
612,0
613,1
614,1
615,0
616,0
617,1
618,0
619,1
620,0
621,0
622,0
623,1
624,1
625,1
626,1
627,1
628,1
629,0
630,1
631,0
632,1
633,0
634,1
635,1
636,0
637,0
638,1
639,1
640,0
641,1
642,0
643,1
644,1
645,1
646,1
647,1
648,1
649,0
650,1
651,0
652,0
653,1
654,0
655,0
656,0
657,1
658,1
659,1
660,0
661,0
662,1
663,0
664,0
665,0
666,0
667,1
668,0
669,1
670,1
671,1
672,1
673,0
674,0
675,1
676,0
677,0
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,0
688,0
689,0
690,1
691,1
692,1
693,1
694,1
695,0
696,1
697,1
698,0
699,1
700,0
701,1
702,1
703,0
704,0
705,1
706,0
707,0
708,1
709,1
710,0
711,1
712,1
713,1
714,0
715,0
716,1
717,1
718,1
719,0
720,1
721,1
722,1
723,1
724,0
725,1
726,1
727,1
728,0
729,1
730,0
731,1
732,0
733,0
734,0
735,1
736,1
737,0
738,1
739,1
740,1
741,1
742,0
743,0
744,0
745,0
746,1
747,1
748,0
749,1
750,1
751,1
752,1
753,1
754,0
755,1
756,0
757,0
758,1
759,1
760,1
761,0
762,0
763,1
764,0
765,0
766,1
767,1
768,1
769,0
770,0
771,0
772,0
773,1
774,0
775,0
776,1
777,0
778,0
779,1
780,1
781,1
782,0
783,1
784,0
785,1
786,1
787,0
788,1
789,1
790,0
791,0
792,0
793,1
794,1
795,1
796,0
797,0
798,1
799,1
800,1
801,0
802,1
803,0
804,0
805,1
806,1
807,1
808,0
809,0
810,1
811,1
812,0
813,1
814,0
815,1
816,1
817,1
818,0
819,1
820,1
821,1
822,1
823,1
824,0
825,1
826,0
827,0
828,0
829,1
830,0
831,0
832,1
833,1
834,1
835,1
836,1
837,1
838,0
839,0
840,1
841,1
842,0
843,0
844,1
845,0
846,1
847,1
848,0
849,0
850,0
851,1
852,0
853,1
854,1
855,1
856,0
857,1
858,0
859,0
860,0
861,1
862,0
863,0
864,1
865,0
866,0
867,0
868,1
869,1
870,0
871,0
872,0
873,1
874,1
875,1
876,0
877,0
878,1
879,0
880,0
881,1
882,1
883,1
884,0
885,1
886,0
887,1
888,1
889,0
890,0
891,1
892,0
893,0
894,1
895,1
896,0
897,1
898,0
899,0
900,1
901,0
902,0
903,0
904,0
905,0
906,1
907,0
908,1
909,1
910,1
911,1
912,1
913,1
914,0
915,0
916,0
917,1
918,0
919,1
920,1
921,1
922,1
923,1
924,1
925,0
926,0
927,0
928,1
929,0
930,1
931,1
932,0
933,0
934,1
935,1
936,1
937,0
938,1
939,0
940,1
941,0
942,0
943,1
944,1
945,0
946,1
947,1
948,1
949,1
950,0
951,0
952,1
953,0
954,1
955,0
956,0
957,1
958,1
959,0
960,1
961,1
962,1
963,1
964,1
965,1
966,1
967,0
968,0
969,1
970,0
971,1
972,1
973,1
974,1
975,1
976,0
977,0
978,0
979,1
980,1
981,1
982,1
983,0
984,1
985,0
986,1
987,0
988,0
989,0
990,1
991,0
992,1
993,1
994,1
995,0
996,0
997,0
998,1
999,0
1000,1
1001,1
1002,1
1003,1
1004,1
1005,0
1006,1
1007,0
1008,1
1009,0
1010,1
1011,0
1012,1
1013,1
1014,0
1015,1
1016,1
1017,1
1018,0
1019,0
1020,1
1021,1
1022,0
1023,1
1024,0
1025,1
1026,1
1027,0
1028,1
1029,1
1030,0
1031,0
1032,1
1033,0
1034,1
1035,1
1036,0
1037,1
1038,0
1039,1
1040,0
1041,0
1042,0
1043,0
1044,0
1045,1
1046,1
1047,1
1048,1
1049,1
1050,1
1051,0
1052,1
1053,0
1054,1
1055,0
1056,0
1057,0
1058,1
1059,0
1060,0
1061,1
1062,1
1063,1
1064,1
1065,0
1066,0
1067,0
1068,0
1069,1
1070,1
1071,1
1072,1
1073,1
1074,1
1075,1
1076,0
1077,1
1078,1
1079,1
1080,1
1081,1
1082,0
1083,0
1084,1
1085,1
1086,0
1087,0
1088,0
1089,1
1090,0
1091,1
1092,1
1093,0
1094,1
1095,0
1096,1
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,1
1104,1
1105,1
1106,0
1107,0
1108,1
1109,0
1110,1
1111,1
1112,1
1113,1
1114,0
1115,0
1116,0
1117,1
1118,0
1119,0
1120,1
1121,0
1122,0
1123,0
1124,1
1125,0
1126,0
1127,0
1128,0
1129,1
1130,1
1131,0
1132,0
1133,0
1134,1
1135,1
1136,0
1137,1
1138,1
1139,0
1140,0
1141,1
1142,1
1143,1
1144,0
1145,1
1146,0
1147,0
1148,0
1149,0
1150,1
1151,0
1152,1
1153,0
1154,1
1155,1
1156,1
1157,1
1158,1
1159,0
1160,1
1161,1
1162,0
1163,1
1164,0
1165,0
1166,0
1167,1
1168,1
1169,1
1170,0
1171,1
1172,1
1173,1
1174,1
1175,0
1176,0
1177,1
1178,1
1179,1
1180,1
1181,1
1182,1
1183,1
1184,1
1185,0
1186,0
1187,0
1188,1
1189,0
1190,0
1191,1
1192,0
1193,1
1194,0
1195,0
1196,0
1197,0
1198,1
1199,0
1200,1
1201,1
1202,0
1203,0
1204,0
1205,0
1206,1
1207,0
1208,1
1209,0
1210,1
1211,0
1212,1
1213,1
1214,1
1215,1
1216,1
1217,1
1218,0
1219,0
1220,0
1221,0
1222,1
1223,1
1224,0
1225,0
1226,1
1227,0
1228,0
1229,1
1230,1
1231,1
1232,1
1233,1
1234,0
1235,1
1236,1
1237,0
1238,0
1239,1
1240,1
1241,1
1242,1
1243,1
1244,1
1245,1
1246,0
1247,0
1248,1
1249,1
1250,0
1251,0
1252,0
1253,0
1254,1
1255,0
1256,0
1257,1
1258,1
1259,0
1260,1
1261,0
1262,1
1263,0
1264,0
1265,1
1266,0
1267,0
1268,0
1269,1
1270,0
1271,1
1272,1
1273,0
1274,1
1275,1
1276,1
1277,1
1278,1
1279,1
1280,1
1281,1
1282,1
1283,0
1284,0
1285,0
1286,1
1287,1
1288,1
1289,1
1290,0
1291,1
1292,0
1293,0
1294,0
1295,0
1296,0
1297,1
1298,0
1299,1
1300,0
1301,0
1302,1
1303,1
1304,0
1305,1
1306,0
1307,0
1308,0
1309,0
1310,1
1311,1
1312,0
1313,1
1314,1
1315,0
1316,0
1317,0
1318,0
1319,1
1320,0
1321,0
1322,1
1323,0
1324,0
1325,0
1326,0
1327,1
1328,0
1329,1
1330,0
1331,0
1332,0
1333,0
1334,1
1335,0
1336,1
1337,0
1338,1
1339,0
1340,1
1341,1
1342,0
1343,1
1344,0
1345,0
1346,1
1347,1
1348,0
1349,0
1350,0
1351,0
1352,1
1353,0
1354,1
1355,1
1356,1
1357,0
1358,1
1359,1
1360,0
1361,1
1362,1
1363,0
1364,1
1365,1
1366,0
1367,0
1368,1
1369,1
1370,0
1371,1
1372,0
1373,1
1374,0
1375,0
1376,1
1377,1
1378,1
1379,0
1380,1
1381,0
1382,0
1383,1
1384,1
1385,1
1386,0
1387,1
1388,0
1389,0
1390,1
1391,1
1392,0
1393,0
1394,1
1395,0
1396,1
1397,0
1398,0
1399,1
1400,0
1401,0
1402,1
1403,1
1404,0
1405,1
1406,0
1407,1
1408,1
1409,1
1410,1
1411,1
1412,0
1413,0
1414,0
1415,0
1416,0
1417,1
1418,0
1419,1
1420,0
1421,0
1422,0
1423,0
1424,1
1425,0
1426,1
1427,0
1428,1
1429,1
1430,1
1431,0
1432,1
1433,0
1434,1
1435,0
1436,1
1437,0
1438,1
1439,1
1440,0
1441,1
1442,0
1443,0
1444,1
1445,1
1446,1
1447,1
1448,1
1449,0
1450,0
1451,0
1452,0
1453,0
1454,1
1455,0
1456,0
1457,0
1458,1
1459,1
1460,1
1461,0
1462,1
1463,1
1464,0
1465,0
1466,1
1467,1
1468,0
1469,0
1470,1
1471,0
1472,0
1473,1
1474,0
1475,0
1476,0
1477,1
1478,0
1479,1
1480,0
1481,1
1482,0
1483,1
1484,0
1485,0
1486,0
1487,1
1488,0
1489,0
1490,1
1491,1
1492,1
1493,0
1494,1
1495,0
1496,1
1497,1
1498,0
1499,1
1500,1
1501,1
1502,0
1503,0
1504,1
1505,1
1506,1
1507,0
1508,0
1509,0
1510,1
1511,0
1512,0
1513,0
1514,0
1515,1
1516,1
1517,1
1518,1
1519,1
1520,0
1521,0
1522,1
1523,0
1524,1
1525,1
1526,0
1527,1
1528,0
1529,1
1530,1
1531,1
1532,1
1533,1
1534,0
1535,0
1536,0
1537,1
1538,1
1539,1
1540,1
1541,1
1542,0
1543,0
1544,1
1545,1
1546,1
1547,0
1548,0
1549,0
1550,0
1551,1
1552,0
1553,0
1554,0
1555,0
1556,0
1557,0
1558,1
1559,0
1560,0
1561,0
1562,0
1563,1
1564,1
1565,1
1566,1
1567,0
1568,0
1569,1
1570,1
1571,1
1572,1
1573,1
1574,1
1575,1
1576,0
1577,1
1578,1
1579,1
1580,0
1581,0
1582,0
1583,1
1584,1
1585,0
1586,1
1587,1
1588,1
1589,1
1590,1
1591,0
1592,1
1593,1
1594,1
1595,1
1596,1
1597,0
1598,1
1599,0
1600,1
1601,0
1602,1
1603,1
1604,1
1605,0
1606,1
1607,1
1608,1
1609,0
1610,1
1611,1
1612,0
1613,1
1614,1
1615,1
1616,1
1617,1
1618,1
1619,1
1620,1
1621,1
1622,0
1623,0
1624,1
1625,1
1626,0
1627,1
1628,1
1629,0
1630,0
1631,0
1632,1
1633,1
1634,1
1635,1
1636,1
1637,1
1638,0
1639,0
1640,1
1641,0
1642,1
1643,0
1644,0
1645,1
1646,0
1647,1
1648,1
1649,0
1650,0
1651,0
1652,0
1653,1
1654,1
1655,1
1656,1
1657,0
1658,0
1659,0
1660,0
1661,1
1662,1
1663,0
1664,1
1665,0
1666,0
1667,0
1668,1
1669,1
1670,1
1671,1
1672,0
1673,1
1674,0
1675,1
1676,1
1677,1
1678,0
1679,0
1680,0
1681,0
1682,1
1683,0
1684,1
1685,1
1686,0
1687,0
1688,1
1689,1
1690,0
1691,1
1692,1
1693,1
1694,0
1695,0
1696,0
1697,1
1698,1
1699,1
1700,1
1701,0
1702,0
1703,1
1704,0
1705,1
1706,0
1707,1
1708,0
1709,1
1710,0
1711,0
1712,1
1713,0
1714,0
1715,1
1716,0
1717,0
1718,0
1719,1
1720,0
1721,0
1722,0
1723,0
1724,0
1725,1
1726,1
1727,0
1728,0
1729,1
1730,1
1731,0
1732,1
1733,1
1734,0
1735,0
1736,1
1737,0
1738,1
1739,1
1740,1
1741,0
1742,0
1743,1
1744,1
1745,1
1746,1
1747,1
1748,0
1749,0
1750,1
1751,1
1752,0
1753,0
1754,1
1755,1
1756,0
1757,0
1758,0
1759,1
1760,0
1761,0
1762,1
1763,1
1764,1
1765,0
1766,1
1767,0
1768,1
1769,0
1770,1
1771,1
1772,0
1773,1
1774,1
1775,1
1776,1
1777,1
1778,0
1779,1
1780,1
1781,1
1782,0
1783,1
1784,1
1785,1
1786,1
1787,1
1788,0
1789,0
1790,1
1791,1
1792,1
1793,0
1794,1
1795,0
1796,1
1797,0
1798,1
1799,1
1800,1
1801,1
1802,1
1803,0
1804,1
1805,1
1806,0
1807,0
1808,0
1809,1
1810,1
1811,0
1812,0
1813,1
1814,0
1815,1
1816,1
1817,1
1818,1
1819,1
1820,0
1821,0
1822,1
1823,0
1824,0
1825,1
1826,1
1827,1
1828,1
1829,0
1830,1
1831,1
1832,1
1833,1
1834,0
1835,1
1836,0
1837,0
1838,0
1839,1
1840,0
1841,0
1842,1
1843,0
1844,1
1845,1
1846,0
1847,0
1848,1
1849,0
1850,1
1851,0
1852,0
1853,1
1854,0
1855,1
1856,0
1857,0
1858,0
1859,1
1860,0
1861,1
1862,0
1863,0
1864,1
1865,1
1866,0
1867,1
1868,1
1869,1
1870,0
1871,0
1872,0
1873,1
1874,1
1875,0
1876,1
1877,1
1878,1
1879,1
1880,0
1881,0
1882,0
1883,1
1884,1
1885,1
1886,0
1887,1
1888,1
1889,1
1890,0
1891,1
1892,1
1893,0
1894,0
1895,0
1896,1
1897,1
1898,0
1899,0
1900,1
1901,0
1902,1
1903,1
1904,0
1905,1
1906,1
1907,1
1908,0
1909,0
1910,0
1911,1
1912,1
1913,1
1914,1
1915,1
1916,1
1917,1
1918,0
1919,1
1920,1
1921,0
1922,1
1923,1
1924,0
1925,1
1926,1
1927,1
1928,0
1929,0
1930,0
1931,0
1932,1
1933,0
1934,1
1935,1
1936,0
1937,0
1938,1
1939,1
1940,1
1941,0
1942,0
1943,1
1944,0
1945,1
1946,1
1947,0
1948,1
1949,1
1950,1
1951,1
1952,0
1953,1
1954,1
1955,0
1956,1
1957,1
1958,1
1959,0
1960,1
1961,1
1962,1
1963,0
1964,1
1965,1
1966,1
1967,1
1968,0
1969,1
1970,0
1971,0
1972,1
1973,0
1974,1
1975,0
1976,1
1977,1
1978,0
1979,1
1980,0
1981,1
1982,1
1983,0
1984,1
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,1
1994,1
1995,1
1996,1
1997,1
1998,1
1999,1
2000,1
2001,0
2002,0
2003,1
2004,1
2005,0
2006,0
2007,0
2008,1
2009,1
2010,1
2011,1
2012,1
2013,0
2014,1
2015,1
2016,1
2017,0
2018,0
2019,0
2020,0
2021,1
2022,1
2023,1
2024,0
2025,1
2026,1
2027,1
2028,1
2029,0
2030,0
2031,0
2032,1
2033,1
2034,1
2035,1
2036,1
2037,1
2038,1
2039,0
2040,1
2041,0
2042,1
2043,1
2044,1
2045,0
2046,1
2047,1
2048,0
2049,0
2050,1
2051,1
2052,1
2053,0
2054,1
2055,0
2056,0
2057,1
2058,0
2059,0
2060,0
2061,1
2062,0
2063,0
2064,0
2065,1
2066,1
2067,1
2068,1
2069,0
2070,1
2071,0
2072,1
2073,1
2074,0
2075,1
2076,1
2077,1
2078,1
2079,0
2080,0
2081,0
2082,0
2083,1
2084,0
2085,0
2086,1
2087,0
2088,0
2089,1
2090,1
2091,1
2092,1
2093,0
2094,1
2095,1
2096,1
2097,1
2098,0
2099,1
2100,0
2101,1
2102,0
2103,0
